module Base	{

/*
	item Aerosolbomb {

	DisplayName		=	Aerosol Bomb,
	DisplayCategory		=	Explosives,
	Type			=	Weapon,
	Icon			=	Aerosolbomb,
	WeaponSprite		=	Molotov,
	WorldStaticModel	=	AerosolBomb,
	PlacedSprite		=	constructedobjects_01_32,
	Weight			=	1.5,
	/* ============ PERFORMANCE DATA ============= */
	MaxRange		=	10,
	MinDamage		=	0,
	MaxDamage		=	0,
	MaxHitCount		=	0,
	KnockdownMod		=	0,
	SwingTime		=	1.5,
	SwingAmountBeforeImpact	=	0.1,
	MinimumSwingTime	=	1.5,
	/* ============ EXPLOSION PARAMETERS ========= */
	UseSelf			=	TRUE,
	PhysicsObject		=	Aerosolbomb,
	ExplosionPower		=	70,
	ExplosionRange		=	6,
	triggerExplosionTimer	=	50,
	/* ============ ANIMATION & SOUND ============ */
	SwingAnim		=	Throw,
	ExplosionSound		=	AerosolBombExplode,
	SwingSound		=	AerosolBombThrow,
	Tooltip			=	Tooltip_Trap,
	}
*/

/****************************************/
/*	HAND GRENADE			*/
/****************************************/
	item Grenade_Fragmentation {

	DisplayName		=	Grenade (Fragmentation),
	DisplayCategory		=	Explosives,
	Type			=	Weapon,
	Icon			=	Grenade_Frag,
	WeaponSprite		=	Grenade_Frag,
	WorldStaticModel	=	Grenade_Frag,
	Weight			=	0.5,
	/* ============ PERFORMANCE DATA ============= */
	MaxRange		=	10,
	MaxDamage		=	0,
	MinDamage		=	0,
	CriticalChance		=	100,
	CritDmgMultiplier	=	10,
	MaxHitCount		=	0,

	SplatSize		=	3,
	SplatNumber		=	3,
	SplatBloodOnNoDeath	=	TRUE,
	KnockdownMod		=	10,

	SwingTime		=	1.5,
	SwingAmountBeforeImpact	=	0.1,
	MinimumSwingTime	=	1.5,
	/* ============ EXPLOSION PARAMETERS ========= */
	UseSelf			=	TRUE,
	PhysicsObject		=	PipeBomb,
	ExtraDamage		=	999,
	ExplosionPower		=	0,
	ExplosionRange		=	6,
	SmokeRange		=	2,
	triggerExplosionTimer	=	50,
	/* ============ ANIMATION & SOUND ============ */
	SwingAnim		=	Throw,
	ExplosionSound		=	PipeBombExplode,
	SwingSound		=	PipeBombThrow,
	Tooltip			=	Tooltip_Grenade,
	}

	item Grenade_Stick {

	DisplayName		=	Grenade (M24-Stick),
	DisplayCategory		=	Explosives,
	Type			=	Weapon,
	Icon			=	Grenade_Stick,
	WeaponSprite		=	Grenade_Stick,
	WorldStaticModel	=	Grenade_Stick,
	Weight			=	0.62,
	/* ============ PERFORMANCE DATA ============= */
	MaxRange		=	11,
	MaxDamage		=	0,
	MinDamage		=	0,
	MaxHitCount		=	0,

	SplatSize		=	3,
	SplatNumber		=	3,
	SplatBloodOnNoDeath	=	TRUE,
	KnockdownMod		=	10,

	SwingTime		=	1.5,
	SwingAmountBeforeImpact	=	0.1,
	MinimumSwingTime	=	1.5,
	/* ============ EXPLOSION PARAMETERS ========= */
	UseSelf			=	TRUE,
	PhysicsObject		=	PipeBomb,
	ExtraDamage		=	999,
	ExplosionPower		=	0,
	ExplosionRange		=	6,
	SmokeRange		=	2,
	triggerExplosionTimer	=	60,
